,Average Fitness
777,-9.97959788359788
778,-9.911037037037033
779,-9.936684303350965
780,-9.982091710758374
781,-9.911259259259255
782,-9.985851851851848
783,-9.958962962962959
784,-9.982790123456788
785,-9.948370370370366
786,-9.90796825396825
787,-9.943604938271601
788,-9.928202020202015
789,-9.985555555555552
790,-9.892666666666662
791,-9.942123456790119
792,-9.981555555555552
793,-10.091481481481477
794,-10.032888888888884
795,-9.868197530864192
796,-9.873999999999995
797,-9.974222222222217
798,-9.873481481481477
799,-9.947308641975305
800,-9.849979797979794
801,-9.901523809523805
802,-9.902486772486768
803,-9.851925925925922
804,-9.963037037037033
805,-9.88086419753086
806,-10.078888888888885
807,-9.914222222222218
808,-10.003037037037032
809,-9.923820105820102
810,-9.909456790123453
811,-10.00480776014109
812,-9.866049382716046
813,-9.943795414462077
814,-9.870370370370367
815,-9.914888888888886
816,-9.979753086419748
817,-10.102987654320984
818,-9.9777037037037
819,-9.96318518518518
820,-9.844017636684299
821,-9.869111111111106
822,-10.036469135802465
823,-9.953876543209871
824,-9.882271604938268
825,-9.951407407407403
826,-9.919530864197526
827,-9.949086419753082
828,-9.947481481481477
829,-10.057925925925922
830,-9.907185185185181
831,-9.921555555555551
832,-9.965999999999996
833,-9.87007407407407
834,-10.017407407407402
835,-9.908222222222218
836,-9.937358024691354
837,-10.004296296296292
838,-10.013530864197527
839,-9.92286419753086
840,-9.925555555555551
841,-9.900148148148144
842,-10.018888888888887
843,-10.081037037037031
844,-9.937555555555551
845,-9.924765432098761
846,-9.87944973544973
847,-9.901160493827156
848,-9.873481481481477
849,-10.006320987654316
850,-9.919975308641972
851,-9.879728395061724
852,-9.939432098765428
853,-9.98044444444444
854,-9.923999999999996
855,-9.901506172839502
856,-9.861358024691354
857,-9.811925925925921
858,-9.87844444444444
859,-10.02402469135802
860,-9.907185185185181
861,-9.884370370370366
862,-10.11333333333333
863,-9.892666666666662
864,-9.976116402116398
865,-9.96118518518518
866,-10.072271604938267
867,-9.944296296296294
868,-9.915481481481477
869,-9.820691358024687
870,-9.937481481481477
871,-9.89839506172839
872,-9.965185185185181
873,-9.870296296296292
874,-9.981851851851848
875,-9.905654320987649
876,-9.85807407407407
877,-9.904049382716044
878,-9.967485970819299
879,-9.87444444444444
880,-9.907555555555552
881,-9.906042328042323
882,-10.010098765432094
883,-9.936536155202818
884,-9.87965432098765
885,-9.946888888888884
886,-9.870148148148143
887,-9.909999999999995
888,-9.947777777777773
889,-9.85133333333333
890,-9.84644444444444
891,-9.973481481481478
892,-9.971777777777774
893,-9.929407407407403
894,-9.907185185185181
895,-9.881333333333329
896,-9.948148148148142
897,-9.930148148148144
898,-9.871037037037032
899,-9.911259259259255
900,-9.893037037037033
901,-9.94407407407407
902,-9.93028924162257
903,-9.966666666666661
904,-9.853999999999996
905,-9.900641975308638
906,-9.866592592592587
907,-9.951629629629625
908,-10.018518518518514
909,-9.899869488536151
910,-9.85555555555555
911,-9.907259259259256
912,-9.89281481481481
913,-10.032024691358021
914,-9.981333333333328
915,-9.870592592592589
916,-9.905671957671954
917,-9.851407407407402
918,-9.914814814814811
919,-9.875802469135799
920,-9.976116402116396
921,-9.872691358024687
922,-10.021802469135798
923,-10.003629629629625
924,-9.979827160493823
925,-9.998246913580243
926,-9.895283950617278
927,-9.882419753086415
928,-9.867975308641972
929,-9.905164983164978
930,-9.881975308641971
931,-9.912839506172835
932,-10.005802469135798
933,-9.927999999999995
934,-9.845679012345675
935,-9.941308641975304
936,-10.02912874779541
937,-9.980222222222217
938,-9.963407407407404
939,-10.013746031746027
940,-9.997111111111106
941,-9.873555555555551
942,-9.953876543209873
943,-9.947851851851848
944,-9.858098765432095
945,-9.967876543209872
946,-9.8877037037037
947,-9.95965432098765
948,-9.885111111111106
949,-9.904271604938266
950,-9.91154850088183
951,-9.960716049382713
952,-9.997671957671953
953,-9.910405643738972
954,-9.969135802469133
955,-10.007128747795411
956,-10.140751322751317
957,-9.99091358024691
958,-9.94807407407407
959,-9.894617283950613
960,-9.917876543209873
961,-9.974370370370366
962,-9.92375308641975
963,-9.86812345679012
964,-9.876148148148143
965,-9.95076543209876
966,-10.0777037037037
967,-10.07681481481481
968,-9.982148148148145
969,-9.851851851851848
970,-9.971308641975305
971,-10.031851851851847
972,-10.10522751322751
973,-9.959209876543206
974,-9.993234567901231
975,-9.983375661375657
976,-9.825999999999995
977,-9.987061728395057
978,-9.916320987654316
979,-9.963382716049379
980,-9.966740740740736
981,-9.945037037037032
982,-9.888148148148144
983,-9.862370370370366
984,-9.858091710758373
985,-9.924987654320983
986,-9.801679012345675
987,-9.891209876543206
988,-9.952148148148144
989,-9.861061728395057
990,-9.966370370370367
991,-9.873999999999995
992,-9.953802469135798
993,-10.008740740740736
994,-9.894839506172836
995,-9.876148148148143
996,-9.947851851851848
997,-9.966888888888883
998,-10.162518518518514
999,-10.196074074074069
1000,-9.928740740740736
